created_at,full_text,screen_name,location,description,followers_count,friends_count,statuses_count,verified,full_retweet_text
2020-03-01 00:01:54+00:00,Outbreak weighs on foreign firms in China as they strive to restart work - Global Times https://t.co/taJ5OCuK3X,thesanjaydutt,delhi india,General Gyan! No comment of mine is a buy or sell recommendation. Tweets are just general commentary. Trade/Invest after taking professional advise.,5835,717,5602,False,
2020-03-01 00:02:27+00:00,CDC erroneously identified first patient to die from coronavirus as female https://t.co/iYsYKOJ57m,WaYs2rOcK,new delhi india,Raj Gaur,44,57,41651,False,
2020-03-01 00:02:46+00:00,@Kishoreciyer1 @followTheGupta Coz he wants India to beat china in population 😄😄😄,Labaad_panti,vapi india,"True Lover Of Labaadpanti✌✌liitle bit musicoholic 🎵🎵
A Proud Indian not a Bhakt .
instagram : @labaad_panti",182,355,6267,False,
2020-03-01 00:03:22+00:00,RT @airnewsalerts: #SaudiArabia’s Ministry of Tourism announces that it has temporarily stopped issuing tourist visas to people in certain…,Vivek52167439,india,🇮🇳,32,475,676,False,#SaudiArabia’s Ministry of Tourism announces that it has temporarily stopped issuing tourist visas to people in certain countries particularly badly hit by the #coronavirus outbreak.
2020-03-01 00:04:16+00:00,All 112 Wuhan evacuees test negative for coronavirus after first samples https://t.co/8YPa7Ngzmq https://t.co/gzIc3PFfl4,Pawan05258Kumar,goa india,"part time web designer, music lover",485,34,25253,False,
2020-03-01 00:04:38+00:00,Increasing concerns on origin of Coronavirus: lab created or animal origin @who https://t.co/qsXGJyOxSC,prasadam1062,hyderabad india,"Former Diplomat specialising in Middle East affairs, Cyber security, Indian Ocean and Maritime security.  President of Centre for Asia-Africa Policy Research.",33,89,131,False,
2020-03-01 00:05:07+00:00,"I'm  really confused... !!!

Meanwhile world is dealing with coronavirus..... India don't have any COVID19 case....All feared cases  turned out negative... 

But we are suffering  from H1N1... 
🤔🤔 https://t.co/wGJfOzP1Uy",rutuuku,maharashtra india,"I like critisism, it makes you strong🙇🤘♀",5,1017,2342,False,
2020-03-01 00:05:07+00:00,"RT @ArjunPai: And alternative read. Mind-boggling. 

NASA images show measurable decrease in airborne nitrogen dioxide over China  https://…",Avnash1972,chennai india,"Disappointment guaranteed. And yes-  if you can’t handle humor, do yourself a favor- walk away.",230,450,11411,False,"And alternative read. Mind-boggling. 

NASA images show measurable decrease in airborne nitrogen dioxide over China  https://t.co/7l2YiaBRoA"
2020-03-01 00:06:04+00:00,"@mjc5577 @MysterySolvent @VP Open border with China? 😂
There's whole Himalayan mountain range standing between, plus strict patrol of Army as two nations are hostile towards each other.",apoorvc2005,pune india,Engineer | IoT | Audiophile | Politics and Economics Trendwatcher | Practical Thinker | Speed Reader | RW,230,472,16076,False,
2020-03-01 00:06:12+00:00,"RT @spectatorindex: JUST IN: Fifth case of coronavirus in Sydney, in man who recently arrived from Iran.",iKrys74l,chandigarh india,Judge yourself..enjoy!,136,276,25943,False,"JUST IN: Fifth case of coronavirus in Sydney, in man who recently arrived from Iran."
